position,company,description,numreview,location
Experimental Design and Statistical Analysis Support for Unmanned Underwater Vehicles (UUV) Research Project (53-7002),SDSU Research Foundation,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Overview
</b></h2><div><div><div><div>This Statement of Work covers the need for the services of a college student to provide technical and/or analytical support in the fields of Psychology and Ocean Engineering for the MK18 project. The purpose of the project is to integrate and transition into the Fleet new technologies to support Unmanned Underwater Vehicles (UUVs)</div><br>
<div>
The U.S. Navy has deployed the MK18 Mod 1 and 2 UUVs for U.S. Navy shallow water mine countermeasures (MCM) and hydrographic reconnaissance operations. The UUVs in the MK18 Family of Systems are pre-programmed and designed to scan waters for targets or threats while offering the Fleet vital information for required for planning Navy operations.</div>
</div></div></div><h2 class=""jobSectionHeader""><b>Responsibilities
</b></h2><div><div><div><div>The contractor shall assist the work sponsor with experimental design planning, technology evaluations and data analysis tasks. Some support to usability and human factors evaluations may also be required.</div><br>
<ul><li>
Reviewing, analyzing and documenting related literature
</li></ul><br>
<ul><li>Supporting required pilot testing and usability
</li></ul><br>
<ul><li>Designing and testing experimental
</li></ul><br>
<ul><li>Supporting data analyses and documenting
</li></ul></div></div></div><h2 class=""jobSectionHeader""><b>Qualifications
</b></h2><div><div><div><br>
<div>Minimum Qualifications:</div><br>
<div>
Graduate Level 2: Psychology or Cognitive Science (working on Masters or Ph.D).</div><br>
<div>
Required Course Work:</div><ul><li>
Experimental design</li><li>
Statistical analysis</li><li>
Human Factors Psychology</li></ul><div>
Additional Qualifications desired: Experience with Statistical Package for the Social Sciences (SPSS) (statistical analysis tool) and Signal Detection Theory are desired but not required. Experience with Queueing Theory desired but not</div><br>
<div><b>
This position will require the employee to obtain and maintain a DoD Secret security clearance</b></div><div><b>
Due to the regulations established by the Department of Defense, only US Citizens may qualify</b><br>
<b>This is a student position and is limited to working 20 hours per week</b><br>
<b>This position will remain open until filled</b><br>
<b>San Diego State University Research Foundation is an EEO/AA/Disability/Vets Employer</b></div></div></div></div></div></span>",20 reviews,"San Diego, CA"
Computational Biologist/Bioinformatics Position,La Jolla Institute for Allergy and Immunology,"<span id=""job_summary"" class=""summary"">A position is available at the La Jolla Institute for Allergy and Immunology in the research group of Dr. Catherine Hedrick to perform bioinformatics research in immunology in the fields of cancer and atherosclerosis. The project will include analysis of RNA sequencing and ChIP-sequencing experiments in immune cells, as well as high-dimensional analysis and clustering of mass cytometry data.
<br>The successful candidate should have a PhD or MD. Knowledge of Matlab and R is required. Knowledge of bioinformatics, immunology, atherosclerosis, or cancer biology is a plus.
<br>LJI is an independent, non-profit research institute, and is a great place for postdoctoral fellows to work. It was recently ranked in the world’s top 5 immunology research institutes and was ranked #1 in a survey of postdocs as ‘best places to work’ worldwide by The Scientist magazine.
<br>Salary
<br>La Jolla Institute payscale, commensurate with experience.
<br>To Apply
<br>Send CV, brief description of current research activities, and contact information of 3 references. Please enclose all documents within a single file attachment.
<br>About LJI
<br>In 2017, LJI was ranked as one of the best places to work in San Diego by the San Diego Business Journal. LJI is located in the Science Research Park on the campus of UC San Diego, with easy access to the San Diego life sciences community and all that the area has to offer.
<br>Full-time employment at LJI includes a competitive salary, medical/dental/vision benefits, paid vacation/sick leave, and contributions to a retirement plan (403B).
<br>LJI provides Equal Employment Opportunity (EEO) to all employees and applicants regardless of race, national origin, religion, sex, marital status, age, mental or physical disability, medical condition, veteran status, sexual orientation, or pregnancy. This applies to all personnel practices, including recruitment, hiring, training, promotion, compensation, benefits, transfers, educational assistance, and social and recreational programs.
<br><br>
LJI is an equal opportunity at will employer and does not discriminate against any employee or applicant for employment because of age, race, religion, color, disability, sex, sexual orientation or national origin.</span>",10 reviews,"San Diego, CA"
Machine Learning - Software Engineer / Scientist,Brain Corporation,"<span id=""job_summary"" class=""summary""><div><p>Brain Corp is a San Diego-based AI company that specializes in the development of self-driving technology. Our AI tech represents the next generation of artificial brains for robots - it enables machines to perceive, learn, and navigate complex environments, while avoiding people and obstacles. We partner with commercial equipment manufacturers, and global consumer electronics brands, to transform their products into self-driving robots.</p>
<p>We are looking for candidates with advanced knowledge in the fields of machine learning and adaptive data processing.</p>
<p>As a core member of our AI Division, you will work with our world-class team of engineers and scientists to build a platform for the next generation of intelligent machines. Your experience will be pivotal in advancing our mission: safe and reliable robots everywhere.</p>
<p><b>Requirements</b>:</p>
<ul><li>M.S. or Ph.D. Degree in computer science, Software engineering or a related field</li>
<li>Strong experience with classification and regression algorithms</li>
<li>Strong experience in machine learning techniques (unsupervised, supervised, reinforcement, demonstration) and optimization algorithms</li>
<li>Strong coding skills Python and C++ in Linux environment</li>
<li>Extensive experience converting publications to actual implementations</li>
</ul><p><b>Extras that make the difference:</b></p>
<p><b>2+ years experience (industry experience preferred)</b></p>
<ul><li>Experience in deep neural network packages (e.g. TensorFlow, Theano)</li>
<li>Experience designing and developing robotic systems using a robotic middleware (such as ROS), and existing libraries and tools</li>
<li>Track record of research excellence or/and experience converting publications to actual implementations</li>
<li>Experience with continuous integration, deployment and release management tools</li>
<li>Experience with Agile and Scrum methodology</li>
<li>Proven system integration and software architecture skills</li>
<li>Experience launching products containing machine learning algorithms</li>
</ul><p>This position is located in our San Diego headquarters and reports to the VP of Engineering &amp; AI.</p></div></span>",,"San Diego, CA"
Business Intelligence Specialist,"Facility Management Planners, Inc","<span id=""job_summary"" class=""summary""><p>At Facility Management Planners (FMP), we are a professional services company whose goal is to help customers manage the lifecycle of their real estate and infrastructure assets. We are seeking a Data Engineer who will leverage the latest technologies in data science to support our customers in achieving their mission, along with helping to create a culture of analytics within FMP.</p><p>Working closely with department managers, you will guide the solution architecture of data landscapes. Prioritizing requirements will be integral to success, you will be help implement and maintain modern reporting platforms. The ideal candidate will be the right balance of technical acumen, analytical thinking and storytelling ability to bring data to life. They will be creative with solid design fundamentals, yet possess the necessary tools and skills to implement their vision.</p><p>We are a growing firm looking for a self-motivated person who has the ability and desire to collaborate with our team and quickly adopt new concepts and technologies with the goal of delivering optimal solutions to our clients. This role must have a passion for providing 'best practices' and data solutions to meet the data and industry needs of our business.</p><p><b>Responsibilities</b></p><ul><li>Aid in the implementation and support of Business Intelligence (BI) platform for customers</li><li>Work with large amounts of data, focused on data integration, data governance, data quality and security and privacy compliance.</li><li>Partner with leadership to identify reporting opportunities where data can provide biggest impact</li><li>Prepare and deliver BI training programs</li><li>Define opportunities to use analytics to influence core aspects of the business</li><li>Report/dashboard design and creation</li><li>Perform both standardized and ad-hoc data analysis, reporting and modifications via SQL</li><li>Data management and data wrangling</li><li>Identify systems of record containing key information and setup interfaces for integration</li><li>Produce written deliverables for requirement specifications and support documentation: process mapping, meeting minutes, data dictionary, technical architectures, system testing and implementation activities.</li><li>Create and administer queries for data upload, reporting and quality control.</li></ul><p><b>Skills</b></p><ul><li>Ability to present complex information in an understandable manner. Data Analysis</li><li>Communication</li><li>Data Mining</li><li>Business Analysis</li><li>Databases</li><li>Business Intelligence</li><li>Analytics</li><li>Tableau, PowerBI or similar</li></ul><p><b>Qualifications</b></p><ul><li>BS/MS in Information Systems, Computer Science, Statistics, Mathematics, Business Administration or related field.</li><li>Industry experience as a Data Engineer or related role (software engineer, business analysis, data scientist) with history of manipulating, processing and extracting value from datasets</li><li>Experience with analytics platforms</li><li>Proficiency in SQL</li><li>Experience with Business Intelligence reporting tools – Tableau, Power BI, etc.</li><li>Knowledge of facility management, asset management, space planning and real estate is a plus</li><li>Excellent verbal and written communication skills, including the ability to communicate with both technical and business teams</li><li>Passion for facilitating internal and external customer satisfaction</li><li>Outstanding leadership skills with a focus on driving quality output</li><li>Equally capable of working part of a team or independently</li><li>Curious minded and driven for success</li></ul><p><b>About the Company</b><br>FMP, Inc. is a progressive consulting firm that works with clients to manage the entire lifecycle of their real estate and infrastructure assets. We utilize web-based Integrated Workplace Management Systems (IWMS), Building Information Models (BIM) and Geographical Information Systems (GIS) to connect facilities information with organizations' operational, human resource, and financial data.</p><p>We have a team-oriented, collaborative and flexible atmosphere. Our staff is comprised of professionals with expertise in architecture, interior design, facility management, information systems and software development. We have a creative, innovative environment and you will have an opportunity to contribute immediately to our team. We enjoy working hard and thriving in a deadline-oriented atmosphere, but we also make time to relax and enjoy time together outside of the office. A balance of life, work, family, friends and a variety of interests is important to our team.</p><p>In addition to our great working environment, we offer the opportunity for growth, competitive salary and benefits package including medical, dental, vision, 401K match, vacation days, Sick days and more.</p><p>FMP, Inc. is an Equal Opportunity Employer</p><p>Job Type: Full-time</p><p>Salary: $60,000.00 to $70,000.00 /year</p><p>Education:</p><ul><li>Bachelor's</li></ul></span>",,"San Diego, CA 92109"
Translational Scientist,Viome,"<span id=""job_summary"" class=""summary"">Viome is a wellness as a service company that applies artificial intelligence and machine learning to biological data – e.g., microbiome, transcriptome and metabolome data – to provide personalized recommendations for healthy living. We are a fast-growing, interdisciplinary and passionate team of experts in biochemistry, microbiology, medicine, biotechnology, and artificial intelligence/machine learning.
<br><br>
We are seeking a Translational Scientist to join the TS Core Team in our San Diego offices. The ideal candidate will play a key role in analysis and interpretation of cutting-edge multi-omics data, to enhance personalization of Viome’s user recommendations, as well as contributing to Viome’s larger goal of making chronic illness optional. Viome’s proprietary technology allows us to offer unique insights into diverse microbial functions and their impact on human health. To fully assess and maximize the value of our technology and better inform our product development, we have ongoing R&amp;D efforts which include multiple research studies, partnerships, and collaborations. You will join a versatile and multidisciplinary Translational Science group (non-wet-lab) working cross-functionally with AI/Technology, Bioinformatics, and Product Development teams. This role will report to the Translational Science Lead.
<br><br>
This is a full-time, onsite position at Viome’s offices in San Diego, CA.
<br><br>
<b>Responsibilities:</b><br>
<ul>
<li>Accountable for translating all types of data obtained from Viome’s unique test results into actionable insights and client recommendations</li>
<li>Perform Pathway Analysis and utilize various Systems Biology methods to arrive at integrative functional interpretations from microbial metatranscriptomic, metabolomic, human transcriptomic and other data types</li>
<li>Propose hypotheses for testing, analytical workflows for automation and implementation into the AI framework based on individual customers’ and dataset-wide insights, in conjunction with literature curation</li>
<li>Write interpretive summaries aiding personalized health assessment and considerations for dietary and or supplement recommendations based on microbiome composition/ activity/ abundance at various taxonomic levels (down to strain-specific resolution), gene/ enzyme-specific expression data, metabolite and human gene transcript levels, in the context of the clients’ phenotypes</li>
</ul>
<b>Qualifications:</b><br>
<ul>
<li>Ph.D. or other advanced graduate or professional degree in the area of Microbiology, Biochemistry, Cell /Molecular Biology, or equivalent</li>
<li>Ability to provide actionable interpretations from complex heterogeneous data</li>
<li>Strong biological intuition and deep knowledge of human and microbial biology, with ability to apply it quickly and creatively in novel contexts</li>
<li>Ability to effectively work well in a highly collaborative, matrixed research environment</li>
<li>Demonstrated ability to successfully influence internal and external cross-functional teams by promoting creative problem solving, clear decision-making and accountability</li>
<li>Excellent scientific and team-directed communication skills required</li>
<li>Self-motivated and ability to work in fast-paced startup environment</li>
</ul>
Viome is 100+ person start-up offering a successful commercial product that has generated high demand. With offices in California, New Mexico, New York and Washington, we are looking to hire team members capable of working in dynamic environments, who have a positive attitude and enjoy collaboration. If you have the skills and are excited about Viome’s mission, we’d love to hear from you.</span>",,"San Diego, CA"
R & D Scientist,"Biocept, Inc.","<span id=""job_summary"" class=""summary""><p>We are seeking a talented and self-motivated individual experienced in handling DNA and RNA for qPCR and Next Generation Sequencing applications to help further the development of Biocept’s Target Selector enrichment technology. This individual will work closely with the R&amp;D and CLIA teams to develop first in class assays for the cell free clinical diagnostics space. In addition they will help establish the next generation of molecular genetic assays using Biocept’s Circulating Tumor Cell microfluidic channel.</p><p><b>Tasks and Responsibilities: </b></p><p>· Design, Execute and Analyze experiments on qPCR and sequencing platforms</p><p>· Experience with primer design for use in multiplex PCR</p><p>· Optimize and simplify complex assays to achieve commercial levels of reproducibility and performance.</p><p>· Develop testing methodologies to look at cell free nucleic acid integrity in various collection formats and conditions.</p><p>· Independently run assays and Next Gen Sequencing instrumentation including sample preparation, cluster generation, and sequencing.</p><p>· Demonstrated problem-solving and troubleshooting skills and ability to optimize processes and protocols.</p><p>· Write experimental summaries and prepare technical presentations for updating supervisor and other team members as appropriate.</p><p>· Work closely with clinical laboratory scientists and complete documentation to move assays from the R&amp;D bench into the CLIA lab.</p><p>· Support and train CLIA personnel in recently developed NGS assays.</p><p>· Maintain a laboratory notebook.</p><p>· Other duties as determined by the management team</p><p><b>Experience and Education: </b></p><p>· At least a Bachelors or Master's degree and 5-7 years of experience (PhD’s will also be considered) in commercial product development including prior work with qPCR and Next Generation sequencing.</p><p>· Excellent understanding of molecular biology methodologies for nucleic acid analysis, such as multiplex PCR amplification, RT-PCR, next-generation sequencing (NGS), and ddPCR.</p><p>· Hands-on experience with DNA sequencing for cancer research or diagnostic use.</p><p>· Sound understanding of assay development process for a molecular diagnostic assay development environment</p><p>· Exceptional data analysis skills. Ability to interpret and draw conclusions from vast amounts of data; familiarity with next-generation DNA sequencing analysis programs.</p><p>· Knowledge and familiarity with CLIA certified laboratories and experience with the transfer of new products to a CLIA laboratory desirable.</p><p>· Experience developing assay controls and data QC for laboratory developed tests.</p><p>· Experience with handling archived tissue samples, blood samples, DNA and RNA.</p><p>Job Type: Full-time</p><p>Experience:</p><ul><li>qPCR and Next Generation sequencing.: 5 years</li></ul><p>Education:</p><ul><li>Bachelor's</li></ul><p>Location:</p><ul><li>San Diego, CA</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"San Diego, CA 92121"
Machine Learning Architect,Epsilon,"<span id=""job_summary"" class=""summary""><div><div><div><div>We are growing! Join our “Innovation and Innovations” team and work on transformative and cutting edge technologies that produce real results. Our philosophy is think big, start small, act fast – we value open source technologies, solve challenging and unique problems, and innovate quickly. We work in a very unique onsite-offshore model, and encourage creativity from our architects and engineers every step of the way.
</div><br>
<div>You will be working with various teams including product, user experience, portals, operations, core, and systems. Our teams are small enough to make fast decisions, our audience and reach is large enough that your work, your voice will have an immediate and tremendous impact.
</div><br>
<div>This is a full-time role based out of San Diego, reporting into the SVP, Engineering. You will assist in an organizational transformation from traditional transactional databases and warehousing to cloud data platforms, deep learning and advance analytics domains.
</div><br>
Responsibilities:
<ul><li><div>You will help implement strategies, roadmaps and solutions in the analytics and deep learning space and evangelize the vision to the organization.</div></li>
<li><div>You will be primarily responsible for design, execution and delivery of exploratory concepts, rapid prototypes, and pilot solutions designed to test hypothesis and incubate transformative new capabilities by applying Machine Learning, data mining techniques, doing statistical analysis, and building high quality prediction systems.
</div></li><li><div>You will be hands on. You will implement and deploy these as an Enterprise-grade technology stack, and be responsible for all aspects of the solution – data pipelines, model generation, and training and inference engines.</div></li>
<li><div>Your solution would encompass the gamut of highly-available data lakes to highly-performant-compute clusters, from storage and networking infrastructure to platforms and micro services.</div></li>
<li><div>You will help build an internal team, including recruiting new members and coaching and mentoring existing ones.</div></li></ul>
Qualifications:
<ul><li><div>Master Degree in Machine Learning, Data Mining, Computer Science, Statistical Inference, Mathematical modeling or similar fields with 7-10 years of strong, demonstrable SDLC experience –minimum of 4 of these years should be direct experience in the machine learning, big data space.
</div></li><li><div>Experience implementing at least two Machine Learning pipelines in production.</div></li>
<li><div>Deep hands-on Technical ability. Excellent understanding of machine learning techniques and algorithms. Deep understanding of statistics and probability.</div></li>
<li><div>Experience with Hortonworks or Cloudera distributions.
</div></li><li><div>Very strong written and oral communication skills – must able to present complex ideas in an understandable way.</div></li>
<li><div>Prior experience working with the ELK stack including Elasticsearch</div></li>
<li><div>Proficiency with one or more of Python, Java, Scala preferably in a Linux Environment.</div></li>
<li><div>Experience with deep learning frameworks such as MxNet, Caffe/2, SparkML, Gluon, TensorFlow, Theano, Keras, Pandas, NumPy, scikit-learn.</div></li>
<li><div>Experience with distributed computing frameworks, containers and microservices (Yarn, Kubernetes, AWS ECS, Mesos).</div></li>
<li><div>Experience with at least two noSQL variants - Hive, Mongodb, Cassandra, Impala, and expertise with Kafka, MLLib</div></li>
<li><div>Excellent understanding of algorithms and data structures for optimization.</div></li>
<li><div>Prior experience with traditional RDBMS (Oracle, SQL Server, etc.) and/or large scale traditional data warehousing would be good to have.</div></li>
<li><div>Degree requirement may be relaxed if candidate possesses the equivalent applied machine learning experience and expertise.</div></li></ul>
</div><br>
</div><div><br>
<b>Conditions of Employment</b>
<div>All job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks, employment verification, education verification, drug screens, credit checks, DMV checks (for driving positions only) and fingerprinting.</div><b>
Great People, Deserve Great Benefits</b>
<div>We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career. From tuition reimbursement to scholarship programs to employee stock purchase plans and 401(k)s, we offer associates a variety of benefits that work as hard for them as they work for us.</div><b>
About Epsilon</b>
<div>Epsilon® is an all-encompassing global marketing innovator. We provide unrivaled data intelligence and customer insights, world-class technology including loyalty, email and CRM platforms and data-driven creative, activation and execution. Epsilon’s digital media arm, Conversant, is a leader in personalized digital advertising and insights through its proprietary technology and trove of consumer marketing data, delivering digital marketing with unprecedented scale, accuracy and reach through personalized media programs and through CJ Affiliate, one of the world’s largest affiliate marketing networks. Together, we bring personalized marketing to consumers across offline and online channels, at moments of interest, that help drive business growth for brands. Recognized by Ad Age as the #1 World’s Largest CRM/Direct Marketing Network, #1 Largest U.S. Agency from All Disciplines and #1 Largest U.S. Mobile Marketing Agency, Epsilon employs over 8,000 associates in 70 offices worldwide. Epsilon is an Alliance Data company. For more information, visit www.epsilon.com and follow us on Twitter @EpsilonMktg.</div>
<div>
Alliance Data provides equal employment opportunities without regard to race, color, religion, gender, age, national origin, disability, sexual orientation, gender identity, veteran status or any other characteristic protected by law.</div>
<div><b>
For San Francisco Bay Area</b>:</div>
<div>
Alliance Data will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance</div>
<div>
Alliance Data is an Equal Opportunity Employer.</div><div>
Alliance Data will provide accommodations to applicants needing accommodations to complete the application process.</div><div>
Any applicant offered employment will be required to establish that they are legally authorized to work in the United States for Alliance Data.</div><div>
Alliance Data participates in E-Verify.</div><div>
Alliance Data will consider for employment qualified applicants with criminal and credit histories in a manner consistent with the requirements of all applicable laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.<br>
</div>
<div>
#LI-JM1</div><br>
</div><div>
Primary Location: USA - United States-3079 - California-50033 - San Diego-D7-San Diego, CA - Towne Ctr</div><div>
Work Locations: D7-San Diego, CA - Towne Ctr San Diego 92121</div><div>
Job: Technology</div><div>
Organization: Epsilon</div><div>
Schedule: Regular</div><div>
Job Type: Full-time</div><div>
Job Posting: Jul 18, 2018, 8:44:01 AM</div><div>
Division: Epsilon</div><div>
RI: JM</div></div></span>",244 reviews,"San Diego, CA"
"Senior Research Scientist / Fellow I, Computational Genomics",Vertex Pharmaceuticals,"<span id=""job_summary"" class=""summary"">We are seeking an experienced Senior Research Scientist / Fellow I with strong expertise in method development for Next-Generation Sequencing (NGS) data, gene expression analysis (RNA-Seq), single-cell characterization, statistical genetics (genome-wide association studies), evolutionary sequence analysis, or text mining (or a related bioinformatic skill) to join Vertex’s research site in San Diego, CA. You will report directly to the Sr. Director of the Computational Genomics group. This role will be focused on developing and applying computational methods to (1) analyze NGS data sets for CRISPR-based functional genomic screens and (2) support therapeutic gene editing projects.
<br><br>
#LI-MH1
<br><br>
Minimum Qualifications
<br><br>
<b>Minimum Qualifications:</b><br>
PhD degree in computer science, human genetics/genomics, or a related field in the biological data sciences.
<br>8+ years of productive, relevant post-doctoral and/or industry experience.
<br>Solid understanding of statistics and expertise in R, Bioconductor, and one or more scripting languages: (Python, Perl, BioPython, BioPerl).
<br>In-depth knowledge of genome annotation (e.g. Ensembl and UCSC) and pathway biology resources.
<br><br>
<b>Preferred Qualifications:</b><br>
A proven track record in the analysis of large “omics” data sets (e.g. RNA-seq, whole-genome/exome sequencing).
<br>Excellent communication skills and ability to work both independently and collaboratively across our global research organization.
<br>People management experience</span>",179 reviews,"San Diego, CA 92121"
Principal Scientist,Wuxi AppTec,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Overview
</b></h2><div><div><div><div>HD Biosciences, a WuXi AppTec. company, located in San Diego, is looking for PhD-level (or equivalent research experience) scientist to join our in vitro Pharmacology team.</div>
</div></div></div><h2 class=""jobSectionHeader""><b>Responsibilities
</b></h2><div><div><div><div><div>Design, implement, and perform projects to identify new molecular targets and explore new biological mechanisms</div><div>
Support the development and execution of biochemical and cell-based assays for the identification of novel starting points for drug discovery projects. The ability to troubleshoot issues with assay performance will be required.</div><div>
Accurately interpret experimental data and communicate data internally and externally.</div><div>
 Routinely generates new ideas, systematically evaluates new technologies and implements those that add value.</div><div>
Effectively communicate with internal team colleagues and external clients to promote a world-class services</div><div>
Supervise associate(s) and lead research projects and programs through cross collaboration of internal teams.</div></div>
</div></div></div><h2 class=""jobSectionHeader""><b>Qualifications
</b></h2><div><div><div><div><div>PhD in Biochemistry, Biotechnology or Molecular Biology.</div><div>
7+ year industry experience in Pharma/Biotech or close exposures to R&amp;D process. Experience with project leader is preferred.</div><div>
Have excellent scientific, organizational and multi-tasking skills.</div><div>
Show outstanding motivation, creativity, analytical thinking and a high level of scientific commitment and work ethics.</div><div>
Have the ability to think independently, be stimulated by innovation and able to consider original solutions to problems.</div><div>
Outstanding written and oral communication skills, and interpersonal skills to seamlessly fit within a teamwork driven environment</div></div><div><b>
Equal Opportunity Employer Minorities/Women/Veterans/Disabled</b></div></div></div></div></div></span>",83 reviews,"San Diego, CA"
Research Applications Programmer,UC San Diego,"<span id=""job_summary"" class=""summary""><div><p>Under the direction of the CMI Director in conjunction with sponsoring PIs, the incumbent will serve as a principal programmer for the Center, applying skills as a seasoned, experienced software professional with a full understanding of industry practices, community standards and relevant policies and procedures to medium-sized projects or portions of large projects with moderate scope and complexity. Resolves a wide range of issues. Demonstrates competency in selecting tools, methods and techniques to obtain results.</p>
<p>Interacting with CMI researchers, the incumbent will plan, organize and direct the gathering of requirements and subsequent design, development and support of multiple CMI web applications. Design, develop and present prototypes that meet the requirements; turn these prototypes into production quality code; and perform extensive end-to-end testing to verify that system meets performance and reliability. Monitor and support deployed applications during field studies, detecting and correcting operational problems and resolving problems as required.</p>
<p>CMI labs develop a broad range of web-based and mobile applications that are critical to its research mission. For example:</p>
<ul><li>LabMan, a web-based platform to help and accelerate sample processing in the web lab by generating the processing sample plates and keeping track of all components and machines available in the laboratory. LabMan’s requirements were initially defined by the wet lab members of the Knight Lab and will be expanded by other members of the CMI.</li></ul>
<ul><li>Qiita is an open-source web-based platform that enables non-bioinformaticians to perform their own metagenomic analyses and meta-analyses easily using standardized pipelines such as such as Qiime2 and GNPS. Qiita’s requirements and improvements are guided on the expectation of its users and delivered by monthly releases. Qiita’s users ranges from experienced bioinformaticians doing complex meta-analysis to biologist, ecologist or clinicians processing their first study.</li></ul>
<ul><li>Metadata Wizard, an open-source web-based platform to enable researchers to create rules and descriptions of their metadata to create Qiita-compliant sample information to streamline downstream analyses and metaanalyses for microbiome-related research projects.
</li></ul><ul><li>Global Natural Products Social Molecular Networking (GNPS, https://gnps.ucsd.edu/), a web-platform provides public data set deposition and/or retrieval through the Mass Spectrometry Interactive Virtual Environment (MassIVE) data repository. The GNPS analysis infrastructure further enables online dereplication, automated molecular networking analysis, and crowdsourced MS/MS spectrum curation. Each data set added to the GNPS repository is automatically reanalyzed in the next monthly cycle of continuous identification.</li></ul>
<p>The web applications programmer will also have the opportunity to work with graduate students, postdoctoral fellows and staff scientists to create new tools to advance microbiome research and to promote a deeper integration of tools to address multi-omic analyses.</p>
<h1 class=""jobSectionHeader""><b>QUALIFICATIONS</b></h1>
<ul><li><p>A Bachelor's Degree in related; area and/or equivalent experience/training.</p></li>
<li><p>
Proven experience with programming in a linux environment using SQL databases as well as experience programming web pages for web-based applications using Apache/Tomcat.</p></li>
<li><p>
Demonstrated experience in Java and Python.
</p></li><li><p>Demonstrated experience with relational databases: PostgreSQL and MySQL.
</p></li><li><p>Experience with variety of software applications such as Microsoft Office, Project ,Visio, Visua Studio and Eclipse.</p></li>
<li><p>
Advanced skills associated with software design, modification, implementation and deployment, including object-oriented programming concepts.
</p></li><li><p>Demonstrated experience designing web-based user interfaces.
</p></li><li><p>Ability to understand functional needs and how systems can support those needs. Ability to develop conversion and system implementation plans.</p></li>
<li><p>
Demonstrated broad problem solving skills.</p></li>
<li><p>
Intermediate knowledge of secure software development.</p></li>
<li><p>
Demonstrated ability to interface with management on a regular basis.</p></li>
<li><p>
Proven ability to contribute technical narrative to grant proposals.</p></li>
<li><p>
Solid experience with identification and use of code libraries and open-source forums.</p></li>
<li><p>
Experience with planning for deployment and creation of feedback mechanisms.</p></li>
<li><p>
Demonstrated software repository skills. Testing and test planning skills.</p></li>
<li><p>
Strong experience with common programming tools. Ability to follow software specifications.</p></li>
<li><p>
Ability to communicate technical information to technical and non-technical personnel at various levels in the organization.</p></li>
<li><p>
Demonstrated effective communication and interpersonal skills.</p></li>
<li><p>
Self-motivated and works independently and as part of a team. Able to learn effectively and meet deadlines.</p></li>
</ul>
<h1 class=""jobSectionHeader""><b>SPECIAL CONDITIONS</b></h1>
<ul><li>A background check is required.</li></ul></div></span>",654 reviews,"San Diego, CA"
