position,company,description,numreview,location
Robotics and Automation – Research Analyst,Lux Research Inc,"<span id=""job_summary"" class=""summary""><div><p><b>Robotics and Automation – Research Analyst (Boston)</b></p>
<p>Lux Research is looking for candidates with strong technical capability in robotics and automation, who are looking to use that knowledge to assess the commercial viability and roadmap for emerging technologies.</p>
<p>Lux Research provides a unique environment to bolster technical knowledge with business skills, by serving clients interested in monetizing emerging technologies. Clients include multi-national electronics, materials, and industrial companies in addition to investor and government groups.</p>
<p>Qualified candidates will have background in either components (e.g. sensors, machine vision systems, machine learning), and/or automated systems (e.g. robots, autonomous vehicles, drones).</p>
<p>This position does not involve lab-work; rather it involves building on technical expertise through additional primary and secondary research to identify the best opportunities and biggest risks for clients.</p>
<p>Analysts spend their time speaking with innovative technology developers and clients, attending and speaking at conferences, and analyzing their findings to help clients make informed decisions. Analysts will develop expertise across the value chain, including hardware, software, and end markets.</p>
<p><b>Responsibilities:</b></p>
<ul><li>Work with a geographically diverse team to develop and test research hypotheses and prepare findings for clients.</li>
<li>Conduct primary interviews with senior-level executives at large corporations, technology start-ups, and other organizations.</li>
<li>Conduct secondary research drawing on diverse sources, including business and trade press, academic publications, patent filings, and conference presentations.</li>
<li>Produce written research reports, including creative visual depictions of data and ideas.</li>
<li>Perform analyses ranging from technical due diligence to market forecasting and cost modeling</li>
<li>Understand client business needs to develop and deliver high-value research.</li>
<li>Develop a network of contacts and relationships among business and scientific leaders in emerging technologies.</li>
</ul><p><b>Requirements:</b></p>
<ul><li>2-4 years work or postgraduate experience with a background or experience in one or more of the following: electrical engineering, computer science, robotics engineering, mechanical engineering, system engineering, computer engineering, aerospace/aeronautics engineering.</li>
<li>Deep intellectual curiosity about emerging technologies.</li>
<li>Willingness to do whatever it takes to meet client needs in a fast-moving, rapidly growing, start-up environment.</li>
<li>Entrepreneurial, enthusiastic, collegial, and collaborative approach to work.</li>
<li>High degree of organization and attention to detail; ability to juggle multiple tasks.</li>
<li>Ability to write clearly and incisively about business and technical topics.</li>
<li>Superior listening and critical thinking skills, and ability to speak articulately and think on your feet; a good sense of humor is a major plus.</li>
<li>Strong analytical skill, both qualitative and quantitative.</li>
<li>A strong record of academic achievement. Bachelor's degree in electrical engineering, computer science, robotics engineering, mechanical engineering, system engineering, computer engineering, or aerospace/aeronautics engineering required; Master's degree or Ph.D. is preferred.</li>
</ul><p>This position is open to all of our office locations: Boston, New York City, Amsterdam, Singapore and Tokyo</p>
<p>We are seeking candidates immediately available for full-time work.</p></div></span>",,"Boston, MA"
Senior Account Executive,h2o.ai,"<span id=""job_summary"" class=""summary""><div><p><b>Company Overview</b></p>
<p>H2O.ai is the company behind H2O, the premier open-source machine learning platform that is transforming how enterprise AI applications are built. H2O is a distributed machine learning platform designed for big data with APIs are available in R, Python, Scala, Java and REST/JSON. With H2O, data scientists can take sophisticated models all the way to production using the same user-friendly platform that they use for modeling. Our customers have built mission critical applications across all industries including healthcare, insurance, finance, telecommunications and retail. The H2O.ai team is a mix of software, machine learning, and data science experts working together with the open source community to build H2O.</p>
<p>Founded in 2012, H2O.ai was one of the first companies to create an enterprise machine learning platform and continues to lead in this space. H2O.ai has grown sustainably and steadily since it's inception and in 2018, was named a leader in the Gartner Magic Quadrant for Data Science and Machine Learning platforms.</p>
<p><b>Job Summary:</b></p>
<p>We are looking for high-energy and driven account executives to help promote H2O.ai and close big deals. Successful candidates will have a proven ability to execute with seven or more years of enterprise software sales focused on enterprise big data, analytics, and/or data science software products. Ability to navigate and thrive in a fast-paced startup environment is critical. Specific vertical expertise in financial services, insurance, and/or healthcare is helpful, as is a knowledge of open source software business models.
<br>
<br>
As an Enterprise Account Executive at H2O.ai, you are skilled at navigating the customer buying process, conveying value and compressing the sales cycle. You bring a passion for innovation and translating complex technology into a high-ROI business outcome. You are skilled at qualifying opportunities, managing your time and that of your team wisely, and staying focused on the goal.</p>
<p><b>Qualifications and Skills</b></p>
<ul><li>Engage with CIOs, CDOs, CTOs, IT executives, Data Scientists and other key stakeholders</li>
<li>Manage and grow a pipeline of both net new and existing accounts</li>
<li>Capitalize on our land and expand strategy for quick wins while cultivating complex 7-figure transactions</li>
<li>Maintain impeccable Salesforce hygiene on all active opportunities and customer activity</li>
<li>Use solution selling to create and demonstrate value for customers</li>
<li>Strong qualification and time management skills; excellent written and verbal communication</li>
<li>Strong listening skills and ability to think strategically about structuring and winning deals</li>
</ul><p><b>Requirements:</b></p>
<ul><li>Minimum of 5+ years field sales experience within big data, analytics, and/or data science tools and technologies in large enterprise accounts.</li>
<li>Strong existing network in large enterprise accounts in your territory.</li>
<li>Proven track record of revenue overachievement, hunger to win.</li>
<li>Team player that knows how and when to enlist internal resources to ensure the desired outcome.</li>
<li>Bachelor's Degree required.</li>
</ul><p><b>Benefits and Perks</b></p>
<ul><li>Modern office in Mountain View, CA with floor-to-ceiling windows &amp; natural light.</li>
<li>Lunch and dinner catered every day.</li>
<li>Flexible work hours and unlimited time off.</li>
<li> Competitive salary with uncapped commission and accelerators above quota</li>
<ul><li>Medical, dental, vision</li></ul>
<ul><li>401k Retirement Plan</li></ul>
</ul><p>H2O.ai is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.</p></div></span>",,"Boston, MA"
Marketing Information Analytics Coordinator,VHB,"<span id=""job_summary"" class=""summary""><div><p><b>Marketing Information &amp; Analytics Coordinator</b></p>
<p>
Do you love reading, writing, and editing? Do you enjoy finding creative solutions to effectively research, organize, and maintain information?</p>
<p>
VHB seeks a Marketing Information/Analytics Coordinator to provide marketing and proposal support for our Northeast Region, based in our Boston, MA, Watertown, MA, or Bedford, NH office locations. We are looking for a creative and energetic go-getter who relishes working in a fast-past, team environment to provide support in maintaining our critical marketing information and data. Accurate, up-to-date data is an integral component to producing winning proposal documents and effective marketing communications materials.</p>
<p>
VHB’s passionate professionals include marketers, engineers, scientists, planners, and designers who partner with public and private clients. Together, we work to improve mobility, enhance communities and economic vitality, and balance development and infrastructure needs with environmental stewardship.</p>
<p><b>
Responsibilities</b></p>
<ul>
<li> Creates, maintains, and updates marketing information content for proposals, qualifications, and other marketing deliverables, such as project profiles/stories, resumes, references, and services descriptions.</li>
<li> Assists with gathering market research and data (e.g., client Capital Improvement Plans, publicly posted consultant selections, etc.).</li>
<li> Implements regional proposal close-out process.</li>
<li> Develops and maintains accurate, current database(s) of industry contacts for mailings.</li>
<li> Supports maintenance and accuracy of regional marketing/sales metrics (e.g., win-loss, opportunity pipeline, etc.).</li>
<li> Supports proposal administration and preparation efforts.</li>
<li> May assist in document production and quality flip-throughs (i.e., copying, binding, and delivery).</li>
<li> May assist in coordination of local events and conferences, maintaining the regional event calendar, and may provide support on conferences and other industry events.</li>
<li> Participates in team meetings and training.</li></ul>
<br>
<p><b>Skills and Attributes</b></p>
<ul>
<li>Excellent verbal, written, organizational, and interpersonal communication skills
</li><li>Detail oriented</li>
<li>Able to work well under deadline pressure</li>
<li>Able to handle multiple assignments concurrently</li>
<li>Comfortable working with marketing and technical staff in person and remotely</li>
<li>Proficient in Microsoft Word and Excel</li>
<li> Advanced working knowledge of Microsoft Office and Adobe Creative Suite programs, including Word, PowerPoint, InDesign, and Photoshop, preferred</li></ul>
<br>
<p><b>Qualifications:</b></p>
<ul>
<li> BA in English, Marketing, Communications, Information Management, Library Sciences, or similar, preferred.
 </li><li>Excellent written and verbal communication skills.
 </li><li>Experience with market research and data management</li>
<li> Experience in the Architecture/Engineering/Construction Industry a plus.</li>
<li> Experience with Client Relationship Management (CRM) systems and information management preferred.<br>
</li>
</ul><p>At VHB, we’re invested in what we do, compelled by intellectual curiosity, and driven to work collectively to best serve our clients and help shape the future of our communities in a meaningful way. We’re proud, yet humbled, to have been doing this for nearly 40 years. We are dedicated to making a positive impact and providing opportunities to grow personally and professionally.
</p><br>
<p>We regret to inform you that we do not currently provide sponsorship for this position.</p>
<p>
#LI-DP1</p></div></span>",22 reviews,"Boston, MA 02110"
ERP Implementation Specialist,Lovepop,"<span id=""job_summary"" class=""summary""><div><div><div>We are looking for a hungry ERP Implementation Specialist to join Lovepop’s Internal Platforms team. The Internal Platforms team is tasked with differentiating Lovepop’s operations through leveraging existing physical infrastructure using technology to build new in-house capabilities. As our first in-house ERP implementation Specialist, you will own and support a multi-year effort of a company wide ERP implementation. The system needs constantly be upgraded to fit the business based on ever changing demand.</div></div>
<div><div><h3 class=""jobSectionHeader""><b>What you'll work on:</b></h3><div><ul><li>
Own and support Lovepop’s ERP implementation (on the ERP side)</li><li>
Build and Manage Lovepop’s processes within the ERP by working with the existing teams’ needs</li><li>
Train new users of the ERP as we roll it out</li><li>
Own the In-house (Lovepop) understanding and ownership of the ERP implementation (after our third party contractors help us roll it out)</li><li>
Work with our data scientists to develop and scale our Inventory Management and Logistic models</li></ul></div></div></div>
<div><div><h3 class=""jobSectionHeader""><b>What you'll bring to the table:</b></h3><div><ul><li>
Bachelor’s degree and a minimum of 2 years experience with a leading ERP
</li><li>Strong open mindedness and willingness to learn new technologies and processes</li><li>
A methodical and careful mindset with the ability to work in a fast paced startup environment</li><li>
Strong communications skills with the ability to work with our existing Internal Platform team and everyone else at Lovepop
</li></ul></div></div></div><div><div><h3 class=""jobSectionHeader""><b>You'll be great if you:
</b></h3><div><ul><li>Have a background in finance
</li><li>Understand supply chain and have relevant certifications in APICS, CPIM, CPSM, etc.</li><li>
Experience rolling out an ERP</li><li>
Are willing and able to put in flexible hours</li></ul></div></div></div></div></span>",2 reviews,"Boston, MA"
Field Application Scientist - Boston,10x Genomics,"<span id=""job_summary"" class=""summary""><b>Region:</b> Boston
<br><br>
The Field Applications Scientist is responsible for performing system usage trainings at customer sites, while providing experimental design, data analysis, logistical, and troubleshooting support for their region. The Field Applications Scientist will be a key contact in conjunction with in house Technical Support for responding to issues and maintaining relationships with customers. The primary goals of this position are to ensure rapid adoption and maximum customer success with 10x Genomics’ products.
<br><br>
Key Responsibilities
<br><br>
<b>Communicate:</b><br>
<ul>
<li>Perform as the technical account manager, acting as the point of contact between the customer and company.</li>
<li>Keep customers apprised and trained on advancements in 10X technology and software.</li>
<li>Coordinate and perform customer site trainings and demonstrations</li>
<li>Identify, document and communicate customer complaints and concerns to management.</li>
<li>Contribute to white papers and documentation with the goal of expanding support content.</li>
</ul>
<b>Connect:</b><br>
<ul>
<li>Scientifically partner with customers as they develop their research utilizing 10x technology.</li>
<li>Engage in scientific discussions with customers to cultivate long term relationships</li>
<li>Create and maintain positive working relationships with customers. Key, is the ability to manage expectations while exceeding the customer’s needs.</li>
<li>Gather and deliver strategic and competitive customer feedback, communicating customer use cases beyond initial product scope to Marketing and Product Development teams.</li>
</ul>
<b>Support:</b><br>
<ul>
<li>Troubleshoot issues related to user's technical skills, biochemistry/assay design, experimental design, software and instruments.</li>
<li>Interpret customer needs and identify the proper issue escalation pathway within 10X.</li>
<li>Support field sales team at trade shows, seminars and technical symposia. This will include presentations and networking with thought leaders.</li>
<li>Ability to maintain composure in potentially stressful situations.</li>
</ul>
Desired Skills and Background
<br><br>
<ul>
<li>Ph.D. or equivalent experience preferred; BA/BS with 5 years of experience, MS with 3 years of experience in Chemistry, Biochemistry, Molecular Biology or Genetics considered.</li>
<li>5 years lab experience in molecular biology, biochemistry, genomics or genetics.</li>
<li>3 years of hands-on experience with NGS workflows and data analysis software and/or sorting cytometry and associated analysis software.</li>
<li>2 years customer facing experience preferred.</li>
<li>Hands on proficiency with common molecular biology bench techniques; cell culture experience preferred.</li>
<li>Broad knowledge of genomics, biochemistry. Single cell laboratory experience is considered a plus.</li>
<li>Ability to work independently and as part of a team towards corporate goals.</li>
<li>Excellent organizational, analytical, and systematic troubleshooting skills.</li>
<li>Strong written and verbal communication skills. Outstanding presentation and training skills.</li>
<li>Familiarity with SFDC software. Ability to maintain records for customer sites and provide high level feedback to management.</li>
<li>Clear vision of and commitment to providing outstanding customer service.</li>
<li>Must be willing to travel up to 80%. Ability to manage a large territory.</li>
</ul>
</span>",,"Boston, MA"
Associate Research Analyst,Harvard Pilgrim Health Care,"<span id=""job_summary"" class=""summary""><div><div><div>Are you interested in becoming part of a dynamic team that is looking to innovate and improve?
</div><div>Would you like to work for a company that has been rated by the BBJ (15+yrs) as one of the best places to work?</div>
<div>Do you want to be part of a company that is committed to giving back to the community?</div>
<br>
<div>Harvard Pilgrim Health Care Institute is currently seeking a highly motivated individual to join the Therapeutics Research and Infectious Disease Epidemiology group (TIDE) within the Department of Population Medicine as an Associate Research Analyst. TIDE manages large, complex, multi-institutional research initiatives based within health systems using electronic health data. The Associate Research Analyst will work primarily on the PCORnet project (The National Patient-Centered Clinical Research Network; www.pcornet.org) and support analytic and observational research related activities, including but not limited to technical requirements preparation, data management and formal report preparation.</div>
<br>
<div><b>WHAT YOU WILL BE DOING:</b></div>
<ul><li>Support data management and data analysis
</li><li>Participate in discussions with internal investigators and other analysts to understand and interpret questions, assist with creation of technical specifications/requirements, and provide guidance and suggestions based on scientific and operational experience
</li><li>Under the direct supervision of a senior team member, create and maintain programs to perform analyses and generate routine and ad hoc reports
</li><li>Work with large medical claims and/or electronic health record datasets
</li><li>Assist senior team members with preparation of data request specifications, summary reports, and presentations
</li><li>Perform out-of-the-box thinking, collaborate with others, and make a difference every day!
</li><li>Other duties and projects as assigned</li></ul><div>
<div>
</div></div><br>
</div><div><b>Qualifications</b><br>
<div><b>
WHAT YOU NEED:</b></div>
<ul><li>Bachelor’s degree or equivalent experience required; master’s degree in public health, health services research, health policy, economics, epidemiology, or similar field preferred.
</li><li>0 to 2 years of professional experience; experience conducting epidemiological evaluations or working with administrative healthcare and electronic healthcare record data a plus. General understanding / background in healthcare and sound knowledge of scientific research methods is desirable.
</li><li>Knowledge of common electronic healthcare coding systems (e.g., NDC, RxNorm CUI, LOINC, ICD-9-CM/ICD-10-CM, HCPCS) a plus. Experience using SAS or other statistical software (e.g., STATA, R, SQL, etc.)
</li><li>Excellent interpersonal skills, dependable, motivated, and willing to learn new tasks. Able to operate independently and with good judgment. Able to collaborate and work with internal staff. Strong organizational and problem solving skills.
</li><li>Resilient, collaborative, flexible, innovative.
</li></ul><br>
<div><b>WHAT MAKES US STAND OUT:</b></div>
<ul><li>Work-Life-Flexibility
</li><li>Paid volunteer time off (up to 3 days annually)
</li><li>Annual Mini-Grant of $500 donated to a non-profit organization of the employee’s choice
</li><li>Educational Reimbursement</li></ul>
<div><b>Working Environment</b><b>
</b></div><div>Office environment</div><div>
<div>
<br>
</div></div><br>
</div><div><b>Primary Location</b><b>:</b> United States of America-Massachusetts-Boston<br>
</div><div><b>
Organization</b><b>:</b> 998 Harvard Pilgrim Health Care Grant</div></div></span>",61 reviews,"Boston, MA"
Senior Scientist/Data Analytics/Applied PRO,Pharmerit International,"<span id=""job_summary"" class=""summary""><div><p>Pharmerit International is a leading health care research consultancy with offices in Rotterdam (The Netherlands), York (UK), Berlin (Germany), Bethesda, Boston, New York (US) and Shanghai (China). Across our Centers of Excellence (CoEs), Strategic Market Access, Modelling and Meta-Analysis, Patient Reported Outcomes, and Real-World Evidence/Data Analytics we provide services to local, national, and international decision makers involved in the delivery and financing of health care.</p><p>
Pharmerit enjoys a collegial and collaborative culture focused on delivering exceptional results. This is reflected in our commitment to individual responsibility and professional development in a dynamic, global organization. Our open working environment encourages peer-learning and knowledge sharing to further enhance the skills and expertise of all our team members.</p><p>
If you are seeking an environment where:</p><ul><li>
your leadership skills will directly impact the growth of our dynamic global consultancy</li><li>
questions are encouraged</li><li>
individual talents are recognized.</li></ul><p>
We invite you to explore Pharmerit International!</p><p><b>
The Role</b></p><p>
Due to our continued growth, Pharmerit International is seeking an exceptional HEOR<b> research professional for a Senior Scientist/Data Analytics/Applied PRO in our Bethesda, New York or Boston locations. </b>Working across our Real World Evidence (RWE) and Patient Reported Outcomes (PRO) Centers of Excellence (CoE), the successful candidate will be a primary leader in the evaluation, development and management of advanced projects that demonstrate Pharmerit’s value as a strategic partner for our clients, will engage in business development, mentor junior staff and serve as a research leader within the CoEs. The ideal candidate has hands on experience in the conceptual, operational and project management of RWE and PRO studies that focus on the identification/application of instruments and methodologies that advance sponsor research objectives, scientific rigor and evidence generation.</p><p><b>
Major responsibilities may include:</b></p><ul><li>
Lead entire project life cycle</li><li>
Manage vendor and third-party relationships to ensure sponsor satisfaction</li><li>
Create project deliverables and manage/lead completion on time and on budget</li><li>
Recommend Pharmerit International services and position research team as subject matter experts</li><li>
Leverage existing industry relationships to advance business opportunities for the CoE and network to drive new business opportunities</li><li>
Foster collaboration and knowledge sharing within Pharmerit team.</li></ul><p><b>
Qualifications/requirements for the Senior Scientist role:</b></p><ul><li>
6+ years’ experience in HEOR with a consulting company preferred</li><li>
Master’s Degree, PharmD, or PhD in relevant Science, Public Health or Pharmacy/Medical Field highly preferred</li><li>
Documented track record of successful completion of RWE studies that involve instrument identification and innovative analysis</li><li>
Ability to develop and lead projects/study protocols</li><li>
Knowledge of ethical and regulatory requirements for studies</li><li>
Ability to effectively manage and lead project teams</li><li>
Database management and analytical and statistical skills</li><li>
Strong analytical and organizational skills to include the ability to prepare and present relevant summaries of complex materials</li><li>
Ability to forge and effectively manage relationships within Pharmerit and with external stakeholders</li><li>
Proactive, responsive and able to balance shifting priorities and ensuring that promises are kept and expectations are exceeded</li><li>
Prior experience in writing proposals, creating opportunities for responding to requests for proposals (RFPs)</li><li>
Documented history of revenue goal attainment</li><li>
Exceptional presentation skills</li><li>
Active publication history and commitment to continue publications</li><li>
Foreign language proficiency a plus</li><li>
Full proficiency in Microsoft Office Suite, including Excel.</li><li>
Experience in SAS, R or other relevant programming languages</li></ul><p>
To apply please send cover letter and resume to careersus@pharmerit.com with the position title “Applied PRO” in the subject line. Pharmerit provides equal employment to all participants and employees without regard to race, national origin, color, religion, gender, age, disability, sexual orientation, veteran or marital status.</p></div></span>",5 reviews,"Boston, MA"
Data Engineer (Boston),QuantumBlack,"<span id=""job_summary"" class=""summary""><div><p>QuantumBlack helps companies use data to drive decisions. We combine business experience, expertise in large-scale data analysis and visualization, and advanced software engineering know-how to deliver results. From aerospace to finance to Formula One, we help companies prototype, develop, and deploy bespoke data science and data visualisation solutions to make better decisions.</p><p><b>
Who You'll Work With</b></p><p>
Our Consultant Data Engineers work closely with our clients and our Data Scientists in order to curate, transform and construct features which feed directly into our modelling approach.</p><p>
This would be a hybrid client-facing/technical role using cutting edge technologies, whilst also being able to communicate complex intractable ideas to non-technical audiences. Gathering clear requirements is a key part of this role and will define the technical strategy the team employs on the study.</p><p>
Our projects cover a wide range of industries and may expose you to problem areas such as: Disease epidemiology, athlete injury prediction or salesforce effectiveness optimisation and many more. In order to gain insight from previously ignored and unconnected data you will need to extract information from vast array of different data sources such as: Data Warehouses, SQL databases, legacy applications, unstructured data, documents, emails, APIs, Kafka endpoints and graph databases.</p><p><b>
What You'll Do</b></p><ul>
<li>Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches</li>
<li>Acquire, ingest, and process data from multiple sources and systems into Big Data platforms</li>
<li>Understanding, assessing and mapping the data landscape.</li>
<li>Maintaining our Information Security standards on the engagement.</li>
<li>Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models</li>
<li>Defining the technology stack to be provisioned by our infrastructure team.</li>
<li>Building modular pipeline to construct features and modelling tables.</li>
<li>Use new and innovative techniques to deliver impact for our clients as well as internal R&amp;D projects</li>
<li>Mentoring and developing junior Data Engineers on engagements</li>
</ul><p><b>Requirements</b></p><ul>
<li>Strong experience with at least two of the following technologies: Python, Scala, SQL, Java</li>
<li>Commercial client-facing project experience is beneficial, including working in close-knit teams</li>
<li>The ability to work across structured, semi-structured, and unstructured data, extracting information and identifying linkages across disparate data sets</li>
<li>Good experience in multiple database technologies such as:<ul>
<li>Distributed Processing (Spark, Hadoop, EMR)</li>
<li>Traditional RDBMS (MS SQL Server, Oracle, MySQL, PostgreSQL)</li>
<li>MPP (AWS Redshift, Teradata)</li>
<li>NoSQL (MongoDB, DynamoDB, Cassandra, Neo4J, Titan)</li>
</ul></li></ul><ul><li>A proven ability in clearly communicating complex solutions</li>
<li>Have a strong understanding of Information Security principles to ensure compliant handling and management of client data</li>
<li>Experience and interest in Cloud platforms such as: AWS, Azure, Google Platform or Databricks</li>
<li>Strong experience in traditional data warehousing / ETL tools (Informatica, Talend, Pentaho, DataStage)</li>
<li>Exceptional attention to detail</li></ul></div></span>",,"Boston, MA"
Commercial Real Estate Research Analyst,"Joseph J. Blake & Associates, Inc.","<span id=""job_summary"" class=""summary""><p>Joseph J. Blake &amp; Associates, Inc. is one of the oldest independent national commercial real estate valuation and consulting firms in the United States. Established in 1946 in New York, the firm provides real property appraisals, market and feasibility studies and litigation support, as well as a variety of related consulting services through its US operations and its formal strategic alliance with Sanyu – Japan’s largest and most distinguished appraisal firm. Joseph J. Blake’s clientele comprises the world’s most prominent banks, insurance companies, pension funds, pension fund advisors, developers, law firms, sovereign wealth funds, and government agencies.</p><p><b>Job Description: </b></p><p>The Boston based office of Joseph J. Blake &amp; Associates, Inc. is currently seeking candidates with excellent quantitative, qualitative and narrative skills for a Commercial Real Estate Research Analyst position. The Analyst will work in a team environment with senior Blake staff to research and collect data across various commercial real estate markets throughout New England. The Analyst will have exposure to all levels of the Firm on a daily basis, providing experience for future growth within the company.</p><p><b>Responsibilities: </b></p><ul><li>Assist in gathering regional commercial real estate data (lease, sale, investment criteria, etc.), relating to property types such as office, retail, multi-family, industrial, and hotel</li><li>Track market metrics such as vacancy rates and absorption</li><li>Interact with external brokers and clients</li><li>Serve as staff specialist for market research, staying abreast of recent activity</li><li>Author written market research analysis reports, explaining statistics and market activity</li><li>Assist in project management to include coordinating with all parties involved in the production of a deliverable appraisal report</li><li>Accompany Blake staff in the field as needed</li><li>Respond to staff inquiries for information by completing advanced research</li></ul><p><b>Requirements: </b></p><ul><li>2 to 4-year degree preferred</li><li>Prefer 1-3 years of experience in research and/or market analysis or any similar combination of education and experience</li><li>Ability to calculate and analyze key metrics and indicators (vacancy, absorption, inventory, deliveries, ground breakings, cap rates, lease &amp; sale data, etc.)</li><li>Experience in data entry/data management</li><li>Strong data software applications skills</li><li>Proficiency in Microsoft Office</li><li>Excellent verbal and written communication skills</li><li>Ability to multi-task and meet tight deadlines</li><li>Demonstrated ability to work independently to meet goals and objectives</li><li>Effective listening and critical thinking skills</li></ul><p><b>Salary Range: </b></p><ul><li>$30,000 to $40,000 depending on prior experience/education</li></ul><p>Job Type: Full-time</p></span>",,"Boston, MA"
"Energy Efficiency Specialist, Cambridge, MA",ICF,"<span id=""job_summary"" class=""summary""><div><p><b>Working at ICF
</b></p><br>
<br>
Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.
<br>
<br>
<p><b>Energy Efficiency Specialist
</b></p><p><b>Cambridge, MA
</b></p><br>
<p><b>Job Description:
</b></p><p>To support the growth we seek an outstanding individual to provide support implementing critical program technical services for the Massachusetts Residential New Construction, Renovations and Additions Program.
</p><br>
<p><b>Key Responsibilities
</b></p><ul><li>Evaluate residential building(s) thermal envelope and HVAC system efficiency, including properly identifying house type, energy usage characteristics, and identify health and safety issues
</li><li>Residential energy modelling of homes from foundation to roof, focusing on: thermal envelope, HVAC and water heating, appliances, lighting, and health and safety
</li><li>Recommendation and direct installation of energy-saving measures such as LED light bulbs - Data collection and reporting utilizing program-approved energy modeling software
</li><li>Identification and promotion of all program-eligible energy efficiency upgrade opportunities
</li><li>Participant/homeowner education and project management - Maintain up-to-date knowledge of Program requirements and ongoing Program updates
</li><li>Ensure that database records regarding projects and other program-related activities are accurate and up-to-date
</li><li>Field QA/QC site visits and inspections across Massachusetts
</li><li>Prepare periodic status reports to accurately describe field activities to monitor progress towards program goals, program participation and the completion of eligible projects
</li><li>Other ad hoc tasks as required
</li></ul><p><br>
<b>Qualifications:
</b></p><ul><li>Bachelor's degree with 2-3 year of experience with energy efficiency, construction or related fields
</li><li>Proficiency in MS Office Applications (Word, PowerPoint, Outlook, Excel)
</li><li>Proficiency working with database and other related software applications
</li><li>Ability to enter and maneuver in confined spaces and to move heavy testing equipment
</li><li>Must have valid driver’s license and successfully pass a Motor Vehicle Records (MVR) check
</li></ul><br>
<p><b>Preferred skills:
</b></p><ul><li>Developing building science based recommendations
</li><li>Knowledge of energy efficiency and US policies for residential energy programs
</li><li>Knowledge of Massachusetts building/energy codes and sustainable building practices and technologies -
</li><li>RESNET, BPI, LEED, or other equivalent formal training/certification Professional Skills
</li><li>Excellent verbal, interpersonal and written communication skills - Excellent problem solving skills with ability to analyze situations, identify existing or potential problems and recommend solutions
</li><li>Team player with the ability to work in a fast-paced environment
<br>
Sound business ethics, including the protection of proprietary and confidential information
</li></ul><br>
<br>
<br>
<p>ICF offers an excellent, an award benefits package winning talent development program, and fosters a highly skilled, energized and empowered workforce.
</p><br>
<p>ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity)
</p><br>
<p>Statement Pay Transparency: For more information, please click here: https://www.dol.gov/ofccp/pdf/pay-transp_formattedESQA508c.pdf
</p><br>
<br>
<br>
<p><b>About ICF </b>:
</p><p>ICF (NASDAQ:ICFI) is a global consulting and technology services provider with more than 5,000 professionals focused on making big things possible for our clients. We are business analysts, policy specialists, technologists, researchers, digital strategists, social scientists and creatives. Since 1969, government and commercial clients have worked with ICF to overcome their toughest challenges on issues that matter profoundly to their success. Come engage with us at icf.com.
</p><br>
<br>
Massachstts Remote Office (MA99)</div></span>",392 reviews,"Boston, MA"
