position,company,description,numreview,location
Supply Chain Data Science Manager,Accenture,"<span id=""job_summary"" class=""summary""><p><b>Job Summary</b><br>oin Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements, the way we collaborate, deliver and operate, provides an unparalleled opportunity to grow and advance. Choose Accenture, and make delivering innovative work part of your extraordinary career.<br>From interactive experiences that captivate customers, new intelligence that is applied across every industry, function and process, and the Digital Reinvention of Industry through smart, connected, products, services, plants and workers—that’s NEW APPLIED NOW.<br>We augment the power of humans with artificial intelligence to help our clients pivot to the new, now. We leverage AI and proprietary advanced analytics algorithms to sense, comprehend, act and learn across the value chain – at unprecedented speed and scale. Our network of over 1800 Data Scientists, Academic Alliances, patented apps and Innovation Labs and Studios rapidly test proofs of concept and accelerate time to market so our clients become industry disruptors.<br>We help clients pivot from thinking digital to being digital at the core, are you ready to choose Accenture?<br><b>Responsibilities and Duties</b><br>oin Accenture and help transform leading organizations and communities around the world. The sheer scale of our capabilities and client engagements, the way we collaborate, deliver and operate, provides an unparalleled opportunity to grow and advance. Choose Accenture, and make delivering innovative work part of your extraordinary career.<br>From interactive experiences that captivate customers, new intelligence that is applied across every industry, function and process, and the Digital Reinvention of Industry through smart, connected, products, services, plants and workers—that’s NEW APPLIED NOW.<br>We augment the power of humans with artificial intelligence to help our clients pivot to the new, now. We leverage AI and proprietary advanced analytics algorithms to sense, comprehend, act and learn across the value chain – at unprecedented speed and scale. Our network of over 1800 Data Scientists, Academic Alliances, patented apps and Innovation Labs and Studios rapidly test proofs of concept and accelerate time to market so our clients become industry disruptors.<br>We help clients pivot from thinking digital to being digital at the core, are you ready to choose Accenture?<br><b>Required Experience, Skills and Qualifications</b></p><p><b>Basic Qualifications</b><br><b><i>These are the minimum requirements for an aspirant to be considered for the position applying to: </i></b></p><ul><li>Bachelor's degree in data science, applied mathematics, economics, statistics, engineering, industrial engineering, operations research or other quantitative/computational related field of study</li><li>3 years working and conceptual knowledge of supply chain industry methodologies and principles</li><li>5 years of combined success in supply chain management and operations experience; specializing in the area(s) of data analysis, modeling and simulation during the planning phases</li><li>5 years demonstrated results in the areas of Supply Chain Optimization Projects (inventory optimization, network design, network redesign, and architecture) in sophisticated and complex environments including the use of simulation and modeling tools (Llamasoft, IBM: LNP and IPFA), CPLEX, or other similar)</li><li>5 years of performing data analytics and modeling with advanced languages (e.g., Python or R)</li><li>7 years of experience with real data</li></ul><p><b>Preferred Skills</b></p><ul><li>Graduate degree in a mathematical/engineering field of study, supply chain, or an MBA with emphasis on supply chain and operations</li><li>Working knowledge of enterprise data tools and technologies</li><li>Working knowledge of analytics technologies (SAS, R, Hadoop, etc.)</li><li>Experience leading presentations and managing client deliveries and expectations</li><li>Experience with SQL</li></ul><p><b>Professional Skills</b></p><ul><li>Proven ability to build, manage and foster a team-oriented environment</li><li>Proven ability to work creatively and analytically in a problem-solving environment</li><li>Passionate about mathematics, statistics, data analytics and driving results</li><li>Excellent communication (written and oral) and interpersonal skills</li><li>Excellent leadership and management skills</li></ul><p>Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).<br>Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.</p><p>Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.<br>Equal Employment Opportunity</p><p>All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.<br>Accenture is committed to providing veteran employment opportunities to our service men and women.<br>APPLYSAVE THIS JOB</p><p>Share</p><p>Job Type: Full-time</p></span>","14,200 reviews","Washington, DC 20006"
Exercise Physiologist,The Henry M. Jackson Foundation,"<span id=""job_summary"" class=""summary""><div><p><b>Join the HJF Team!</b>
</p><p>HJF is seeking an <b><i>Exercise Physiologist </i></b>to support the VA Medical Center in Washington, DC. The War Related Illness and Injury Study Center (WRIISC) is conducting research on “Enhancing cognitive function through the promotion of brain health behaviors”. HJF provides scientific, technical, and programmatic support services to WRIISC. The incumbent will be responsible for physical fitness and aerobic exercise training to improve the health‐related quality of life for various Veteran clinical populations.</p><p>
Responsibilities:</p><ul>
<li>Implement cardiorespiratory exercise training for patients seen at the DC WRIISC or collaborating institutions (e.g. NIH).</li>
<li>Monitor treadmill and over ground walking for all patients when applicable</li>
<li>Lead patients through safe strength training exercises, when applicable.</li>
<li>Prepare and deliver education material for patients.</li>
<li>Monitor physiologic response to exercise using appropriate monitoring.</li>
<li>Communicate effectively with patients’ primary team concerning patient progress and/or physiologic developments.</li>
<li>Assist students, staff, and investigators with protocols.</li>
<li>Assist investigators with design and implementation of new protocols in areas of interest.</li>
<li>Prepare meaningful tables and graphs using appropriate software as needed.</li>
<li>Document training, consultation, and technical services (other than the PH protocol) provided.</li>
<li>Performs other clinical duties as necessary.</li>
<li>Collaborate on post-deployment health and other exercise rehabilitation and testing projects.</li>
<li>Conceptualize and Contribute to protocol development.</li>
<li>Contribute to research design modifications as needed.</li>
<li>Design and obtain approval for protocol-related sub studies.</li>
<li>Conduct clinical exercise tests.</li>
<li>Detailed understanding of technological principles underlying all equipment in the exercise testing laboratory.</li>
<li>Operate all exercise testing equipment during research tests.</li>
<li>Prepare subjects for exercise tests including explanation of the procedures, placement of electrodes and data collection interfaces, calibration of equipment.</li>
<li>Detailed understand all exercise test contraindications, safety procedures, risk factor recommendations, and stopping points for tests performed in the exercise laboratory as identified by ACSM guidelines.</li>
<li>Safely and effectively carry out maximum and submaximal exercise tests with subjects according to approved protocol.</li>
<li>Monitor post-exercise test recovery for safety and data collection.</li>
<li>Record all necessary data from exercise tests.</li>
<li>Transfer data records from stores on data collection devices to appropriate databases and spreadsheets according to protocol operating procedures.</li>
<li>Detailed understanding of on-site field tests and questionnaires.</li>
<li>Understand validity, applications, and usefulness of all questionnaires and field tests used in the specific protocols and patient populations.</li>
<li>Ensure adherence to exercise training protocol.</li>
<li>Monitor patient safety during exercise training sessions.</li>
<li>Record training session data.</li>
<li>Transfer training session data to databases according to approved protocols.</li>
<li>Report adverse events immediately through the appropriate channels.</li>
<li>Maintain regular and frequent contact with off-site facilities to ensure the above.</li>
<li>Ensure immediate reporting of adverse events to the PI.</li>
<li>Maintain database appropriately.</li>
<li>Provides all information necessary for analyses.</li>
<li>Discuss procedures and variables of interest with statisticians as needed.</li>
<li>Interpret results in conjunction with collaborators.</li>
<li>Perform and interpret statistical analyses.</li>
<li>Contribute to research related publications, reports, and/or presentations.</li>
<li>Prepare progress reports, graphics, posters, and other research related materials.</li>
<li>Contribute to the literature review and concept development for grant submissions</li>
<li>Substantively contributes to scientific publications.</li>
<li>Conduct and/or co-author presentations for: Professional meetings, VA and other government agencies, academic venues or other scientists.</li></ul><p><b>
SKILLS AND EXPERIENCE:</b></p><ul>
<li>Excellent interpersonal skills, ability to motivationally coach participants to create their own path to healthy exercise habits and improved lifestyle changes.</li>
<li>Ability to educate patients regarding the relationship and connectivity between exercise, sleep, healthy eating and stress management and explain how each will improve with exercise.</li>
<li>Experience with military or veteran populations is preferred.</li></ul><p><b>
MINIMUM EDUCATION:
</b></p><ul><li>Minimum of a Masters’ Degree in Kinesiology, Exercise Physiology or related field (e.g. neuroscience or biology) and possess current BLS and ACLS certification</li></ul><p><b>
MINIMUM EXPERIECE:</b></p><ul>
<li>At least 2-5 years of related job experience; recent clinical experience relevant to exercise physiology and rehabilitation. Candidates with publications are ideal.</li></ul><p><b>
HJF is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or other status protected by law.</b></p><p>
Any qualifications to be considered as equivalents, in lieu of stated minimums, require the prior approval of the Director of Human Resources.</p></div></span>",73 reviews,"Washington, DC 20422"
Product Manager,Morning Consult,"<span id=""job_summary"" class=""summary""><b>The Role:</b> Morning Consult is looking for an entrepreneurial, business-oriented leader to drive the development of our innovative, data-driven products. In this role, you’ll work side-by-side with a diverse team of designers, data scientists, engineers and business development professions to help define our strategic roadmap, oversee execution, and continually iterate to ensure continued success. Specifically, Product Managers will have the opportunity to work on platforms across the company – from our data-rich analysis platform (Morning Consult Intelligence) to internal tools that help teams operate more efficiently.
<br><br>
Success in this role requires a spirit of collaboration, clear and adaptive communication, and the organizational skills to maintain a strategic focus amidst competing priorities. Ideal candidates will thrive in fast-paced, ambiguous start-up environment in which you’re empowered to think creatively, take expansive ownership, and implement processes where they make sense. Bonus points for experience with commonly used design and wireframing tools (e.g., InVision, Sketch), quantitative user research and data analysis (e.g., SQL, R), or software development (e.g., JavaScript).
<br><br>
As one of the first members of the Product team at Morning Consult, those in this role will not only have significant opportunities to shape the structure and processes of the team, but also contribute to the overall growth and culture of our profitable high-growth pre-Series A company.
<br><br>
<b>Key Responsibilities:</b><br>
<ul>
<li>Build and own data-driven roadmaps to push enterprise and internal products forward</li>
<li>Managing the full product life-cycle, from research and design through development and implementation</li>
<li>Clearly communicate product updates, benefits, and timelines to users and internal stakeholders alike</li>
<li>Collaborate with designers, engineers, data scientists, client success, and business development to solicit feedback, identify trends, and prioritize features for development</li>
<li>Create processes and systems that collect data (qualitative and quantitative) to continually improve products</li>
</ul>
<b>Desired Skills:</b><br>
<ul>
<li>4+ years of product management or product design experience (especially B2B enterprise-software)</li>
<li>BA/BS</li>
<li>Consummate team-player; comfortable working across departments and job levels</li>
<li>Experience leading the development of B2B software products with a demonstrated ability to drive product planning, development and launch</li>
<li>Excellent communication skills, ability to build rapport, share findings, and explain tradeoffs to technical and nontechnical audiences alike</li>
<li>Topical knowledge of polling, survey research, public opinion data, market research, communications, marketing, advertising, SaaS business models, and/or data visualization a plus! (but not required)</li>
<li>Willing to take feedback, learn and grow; an ethos of continuous self-improvement</li>
</ul>
<b>About Morning Consult:</b><br>
Morning Consult is a technology company that is changing how leaders use public opinion data to make key decisions and drive strategy. With offices in New York, Washington, D.C., and Chicago, Morning Consult provides groundbreaking software products, research and original content for over 150 Fortune 500 companies and major brands, in addition to conducting regular public opinion polling for major media organizations including POLITICO, Bloomberg, and The New York Times.
<br><br>
<b>Read more about our company and work:</b><br>
<ul>
<li>A breakout company broke the dam in 2016 polling, and now it wants to become</li>
</ul>
'the Bloomberg of public opinion'
<br>[http://www.businessinsider.com/morning-consult-election-polls-2016-11] – Business Insider, November 2016
<br><ul>
<li>These are the 20 #dctech startups worth watching this year</li>
</ul>
[https://technical.ly/dc/2017/02/09/top-startups-dc-reallist/] – Technical.ly DC, February 2017
<br><ul>
<li>Is Trump Hate-Tweeting You? Find Out if It’s Really a Crisis</li>
</ul>
[https://www.wired.com/2017/02/trump-hate-tweeting-find-really-crisis/] – Wired.com, February 2017
<br><ul>
<li>Trump 50-State Approval Poll</li>
</ul>
[https://morningconsult.com/2018/02/13/trump-approval-50-state-poll/] – Morning Consult, February 2018
<br><ul>
<li>Facebook Small Business Portal</li>
</ul>
[https://facebook.morningconsultintelligence.com/] – Facebook, 2017-2018
<br><ul>
<li>As the Super Bowl Approaches, Republicans Are Souring on the N.F.L. Again</li>
</ul>
[https://www.nytimes.com/interactive/2018/02/03/upshot/nfl-super-bowl-republicans.html] – NY Times, February 2018
<br><ul>
<li>Morning Consult CEO Named EY Mid-Atlantic Entrepreneur of the Year</li>
</ul>
[https://morningconsult.com/2018/06/15/morning-consult-ceo-co-founder-michael-ramlet-named-ey-technology-entrepreneur-of-the-year/] – MC June 2018
<br><ul>
<li>Morning Consult CEO Ranked Among Best Leaders for Women</li>
</ul>
[https://www.usatoday.com/story/money/2018/06/06/best-ceos-women-costco-microsoft-insight-global/672997002/] – USA Today, June 2018</span>",2 reviews,"Washington, DC 20005"
Scientist (Contingent),Davis Defense Group,"<span id=""job_summary"" class=""summary""><div><div><h2 class=""jobSectionHeader""><b>Scientist – Science, Pharmaceutical, Vaccine/Biologics, Management
</b></h2><div><b>Requisition #214</b></div>
<br>
</div><div>Davis Defense Group (DDG), a very successful Woman Owned Small Business (WOSB), is looking for a:</div>
<ul><li><div>Scientist with a minimum of 8 years of technical experience in one or more of the following areas:</div>
<ul><li><div>Engineering</div>
</li><li><div>Systems Management</div>
</li><li><div>Biology</div>
</li><li><div>Engineering Management</div>
</li><li><div>Business Management</div>
</li><li><div>Chemistry</div>
</li></ul></li><li><div>Provide scientific oversight and technical knowledge in the areas of bioengineering, biology, chemistry, and vaccine development.</div>
</li><li><div>Support and analyze the development of medical technologies</div>
</li><li><div>Author and edit documents, reports, and briefings</div>
</li><li><div>Interpret technical data, specifications, and requirements</div>
</li><li><div>Assist in the development of Risk Management Efforts</div>
</li><li><div>Work closely with the product team to solve problems and ensure application of appropriate scientific principles to meet technical requirements.</div>
</li><li><div>This position is located in the Maryland/Washington DC areas</div>
</li><li><div>Must possess or have the ability to quickly obtain a SECRET Clearance.</div>
</li></ul><br>
<div><div><b>Education Required:
</b></div><ul><li><div>Multiple Positions requiring Master’s through PhDs in:Engineering, Systems Management, Physics, Chemistry, Biology, or Engineering Management.</div></li></ul></div></div></span>",11 reviews,"Washington, DC"
Research Analyst I,IFPRI (International Food Policy Research Institute),"<span id=""job_summary"" class=""summary""><div><p>The International Food Policy Research Institute (IFPRI) seeks a qualified candidate to serve as a Research Analyst I in the Spatial Data and Analytics (SDA) team within the Environment and Production Technology Division. The candidate will contribute to various research, data analysis, capacity building, and communication activities led by SDA. SDA’s activities interconnect disciplines at the nexus of economics, environment, farming systems, geography and policy analysis to improve the welfare of the poor through a productive, sustainable and profitable agriculture. By taking advantage of a common data standard - from georeferenced household surveys to remotely-sensed satellite imagery and scenario modeling analyses- in regions with traditionally limited data availability, SDA bridges the divide between quantitative analysis and policy.</p>
<p>It is envisaged that the RA will work on various projects SDA is involved in, including Africa Research In Sustainable Intensification for the Next Generation (RISING), International Dietary Data Expansion (INDDEX), and Gender-sensitive, Climate-resilient Agriculture for Nutrition (GCAN ). Through action research and development partnerships, Africa RISING aims to create opportunities for smallholder farm households in six Sub-Saharan Africa countries to reduce poverty, hunger, and undernutrition through sustainable intensification of their farming systems. The INDDEX project is designed to fill the information gap on the ability to quantify a population’s food and nutrient consumption and dietary patterns, critical factors for effective food security and nutrition policymaking and programming. GCAN aims to assist practitioners and experts in collecting and analyzing climate science and other data to improve understanding of the linkages between climate, nutrition, and gender, as well as to identify innovations and approaches for sustainably improving productivity, nutrition, climate resilience and gender equality.</p>
<p>This is a one-year appointment based at IFPRI Headquarters in Washington, DC.</p>
<p><b>Essential Duties:</b></p>
<p>The successful candidate will conduct a range of activities including, but not limited to:</p>
<ul><li><p>Analyze various large-scale microdata collected by SDA team and other secondary sources</p>
</li><li><p>Assist with the preparation of project reports, research articles, proposals, and other outreach materials</p>
</li><li><p>Manage, aggregate, and analyze data (to be) collected through project-specific databases</p>
</li><li><p>Actively interact with various SDA partners, including by traveling to program countries and providing in-country trainings as necessary</p>
</li><li><p>Assist with the planning and implementation of various primary data collection efforts</p>
<p><b>Required Qualifications</b><b>:</b></p>
</li></ul><div><div><div><div><ul><li>Bachelor’s Degree in international development, development economics, agricultural and applied economics or a very closely related field plus two years of relevant professional experience or Master’s degree in a relevant discipline.</li>
<li>Ability to work independently, particularly in producing research outputs</li>
<li>Pay due attention to details, and deliver with efficiency</li>
<li>Strong writing skills and capacity to analyze complex phenomena and publish findings in various forms</li>
<li>Experience in survey methodologies, data management, analysis and compilation</li>
<li>Fluency in written and spoken English</li>
<li>Advanced knowledge of Stata software, good econometric skills, and proven familiarity with data production and collection processes</li>
<li>Excellent interpersonal skills and demonstrated experience in effective interactions and negotiations in a multi-cultural environment setting with researchers</li>
<li>Willingness to travel to project countries</li>
<li>Good organizational and follow-up skills, to be able to deliver quality products and services on time under tight deadlines</li>
</ul><p><b>Preferred Qualifications</b></p>
<ul><li>Good knowledge of the state of agriculture and nutrition in developing regions (especially Sub-Saharan Africa and South Asia)</li>
<li>Experience with spatially-disaggregated data analysis tools (i.e. mapping and use of GIS software)</li>
<li>Experience in analyzing complex household-level micro data, preferably related with agriculture and nutrition</li>
<li>Working knowledge of a second language of relevance to the geographic areas of research focus (e.g., French)</li></ul></div></div></div></div></div></span>",,"Washington, DC"
Research Analyst,American Council of Life Insurers,"<span id=""job_summary"" class=""summary"">A major US trade association is seeking an Analyst to join its Research team. The Analyst will be
<br><br>
in charge of producing several industry-wide statistical bulletins on a monthly and quarterly basis.
<br><br>
This entails collecting detailed industry-wide survey data; providing guidance and clarifications
<br><br>
regarding survey definitions and methodologies; validating responses, ensuring data accuracy and
<br><br>
maintaining high participation rates; establishing, developing and maintaining good working
<br><br>
relationships with member companies; and, working with company investment professionals to
<br><br>
update the content and analytical procedures used to produce the investment bulletins, as needed.
<br><br>
<b>The Analyst will also:</b> contribute to annual Fact Book production; respond to data and research
<br><br>
requests from association colleagues, member companies, and other interested parties; and,
<br><br>
participate in special projects as needed. The Research Analyst is expected to quickly learn about
<br><br>
the insurance industry, keep abreast of developments, and identify potentially useful new
<br><br>
information sources.
<br><br>
The ideal candidate will have a Bachelor’s degree in economics, finance, risk management, or
<br><br>
related quantitative field with a minimum of two years relevant work experience in a related field
<br><br>
or similar capacity. Knowledge of financial statements and insurance is preferred but not
<br><br>
required. Proficiency with SQL, MS-Access, or SAS are required with a minimum of two years’
<br><br>
experience working with large databases required. Excellent verbal and written communication
<br><br>
skills, a desire to learn, strong interpersonal and time management skills, and the ability to meet
<br><br>
strict deadlines are all essential.
<br><br>
To apply, please email or fax your resume, references and salary requirement information to:
<br><br>
American Council of Life Insurers
<br><br>
<b>Attn:</b> HR Department – Research Analyst search
<br><br>
101 Constitution Avenue, NW, Suite 700
<br><br>
Washington, DC 20001
<br><br>
(866) 953-4078 fax
<br><br>
hr@acli.com
<br><br>
EOE</span>",4 reviews,"Washington, DC 20001"
Data Scientist/Statistician II (Data Mapping),Ardent Eagle Solutions,"<span id=""job_summary"" class=""summary""><p><b>Contract Labor Category: </b></p><p>Data Scientist/Statistician II (Data Mapping):</p><p><b>CLEARANCE: Active Top Secret</b></p><p><b>ABOUT US: </b></p><p>Ardent Eagle Solutions (AES) is a dynamic and growing small business supporting the Federal Government, Department of Defense (DoD) and Intelligence Community (IC) customers worldwide. We are a VA verified Service- Disabled Veteran- Owned Small Business (SDVOSB) offering professional services in myriad technical functional areas. AES is focused on the success and growth of its employees while providing outstanding support to our customers and their mission(s).</p><p><b>OBJECTIVE: </b></p><p>Contractor will work with leadership and designated staff to develop, implement, and assist with administrative management activities; perform a variety of sensitive administrative duties; assist with cyber-centric investigative activities; and assist with sensitive and complex data-related investigative actions. All contractors must be able to pass required finger print and background checks. Contractors will be required to sign non-disclosure agreements.</p><p><b>LABOR CATEGORY: </b></p><ul><li>Perform analysis of all data into, out of and within Department of Commerce as needed.</li><li>Identify and quantify data issues within the organization and assist in the development plans to resolve these issues.</li><li>The data analyst will be responsible for data mapping and extract, transform, load (ETL) activities as needed.</li><li>In addition, they will support routine data management processes and ad hoc user requests as well as perform testing activities as needed.</li><li>Requires BA/BS degree in math, statistics, operations research, economics or related quantitative discipline with experience is required.</li><li>Advanced quantitative degree preferred. Requires BS/BA degree, related industry certifications, approximately 8 years of experience in a related field.</li></ul><p><b>REQUIREMENTS: </b></p><ul><li>Identify, quantify, analyze, and map data issues involving investigative activities, including performing vetting and validation of data as necessary.</li><li>Assist staff with basic, sensitive, and complex research and analysis.</li><li>Perform and document various specified or authorized records checks, request authorized information from internal and external sources, and analyze and integrate resulting data.</li></ul><p><b>LOCATION: </b></p><p>1401 Constitution Ave. NW, Washington, DC 20230</p><p><b>PERIOD OF PERFORMANCE: </b></p><p>The total period of performance with all options exercised is for 4 Year(s) from date of award.</p><p>Base Period: 8/1/18 to 7/30/19<br>Option Period I: 8/1/19 to 7/30/20<br>Option Period II: 8/1/20 to 7/30/21<br>Option Period III: 8/1/21 to 7/30/22</p><p>Job Type: Full-time</p><p>Experience:</p><ul><li>data mapping: 6 years</li></ul><p>Education:</p><ul><li>Bachelor's</li></ul><p>License:</p><ul><li>ACTIVE Top Secret Clearance</li></ul></span>",4 reviews,"Washington, DC"
Research Analyst,"Lionshare Lending, LLC","<span id=""job_summary"" class=""summary""><p>The principals of a leading structured settlement company have many years of experience purchasing structured settlement, annuities and lottery payments. Our history allows us to know who the right people are that would fit into our culture. If you are a hard-working, energetic, top-notch individual, we look forward to hearing from you!</p><p><b>RESPONSIBILITIES</b></p><ul><li>Conduct legal research to locate civil, criminal, probate and other types of cases and court documents in multiple jurisdictions around the country. This will include phone calls to courthouses, correctional facilities and other government agencies for information and verification.</li><li>Use various skip tracing tools, online data broker services/subscription websites, social networks, internet search engines and public records to research, locate people, skip trace evasive debtors and for fraud prevention and detection.</li><li>Review court documents and internal contract data to identify accurate names, possible contacts, verify identities, uncover additional parties of civil cases and obtain all identifying information that can be used to locate the parties.</li></ul><p><b>MINIMUM REQUIREMENTS</b></p><ul><li>Preferred 1 year of prior experience conducting legal/public record research and/or a minimum 1 year of prior skip tracing experience emphasizing on tracking via open source internet tools and social media coupled with court/public record sources and online subscription/data broker services.</li><li>Prior working knowledge of Westlaw, LexisNexis CourtLink, CLEAR and Transunion TLO.</li><li>Comprehensive knowledge of U.S. court systems.</li><li>Experience reviewing, analyzing and interpreting complex business-related legal documents as well as multi-jurisdictional dockets, case filings and associated court orders</li><li>Strong verbal, interpersonal and written communication skills.</li></ul><p>The office is open Monday through Fridays from 8:00 am to 5:00 pm.</p><p>We offer competitive salary based on experience. If you are presently working for another structured settlement company, we can offer you a very lucrative opportunity.</p><p>If you are looking for a friendly environment where your skills are appreciated, please submit your resume for review.</p><p>Job Type: Full-time</p></span>",,"Washington, DC"
"Senior Associate, Data Scientist",KPMG,"<span id=""job_summary"" class=""summary""><div><p>Innovate. Collaborate. Shine. Lighthouse — KPMG's Center of Excellence for Advanced Analytics — has both applied data science, AI, and big data architecture capabilities. Here, you’ll work with a diverse team of sophisticated data and analytics professionals to explore solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects — covering technologies and solutions from AI to optimization — and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.</p><p><br>
KPMG is currently seeking a Data Scientist - - ML/NLP to join KPMG Lighthouse - Center of Excellence for<br>
Advanced Analytics.</p><p>
Responsibilities:</p><ul><li>
Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analyses
</li><li>Build recommendation engines, spam classifiers, sentiment analyzers and classifiers for unstructured and semi-structured data
</li><li>Cluster large amount of user generated content and process data in large-scale environments using Amazon EC2, Storm, Hadoop and Spark
</li><li>Perform machine learning, natural language, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods
</li><li>Participate in client engagements focused on big data and advanced business analytics, in diverse domains such as product development, marketing research, public policy, optimization, and risk management; communicate results and educate others through reports and presentations
</li><li>Perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns</li></ul><p>
Qualifications:</p><ul><li>
A minimum of three years of professional experience working as a Data Scientist</li><li>
Master's degree or PhD from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields, with a strong mathematical background and ability to understand algorithms and methods from a mathematical viewpoint and an intuitive viewpoint</li><li>
Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud environment
</li><li>Strong knowledge in at least one of the following fields: machine learning, data visualization, statistical modeling, data mining, or information retrieval
</li><li>Strong data extraction and processing, using MapReduce, Pig, and/or Hive preferred
</li><li>Ability to travel up to eighty percent of the time.<br>
Applicants must be currently authorized to work in the United States without<br>
the need for visa sponsorship now or in the future and may be required to pass<br>
a background screening for security clearance.</li></ul><p>
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.</p></div></span>","4,494 reviews","Washington, DC 20036"
"Intern, Behavioral Science - Social and Opinion Research",Ipsos North America,"<span id=""job_summary"" class=""summary""><div><p>At Ipsos, we make market research work. We know numbers. We understand people. And we succeed in delivering results. That’s why so many of the world’s leading brands and organizations look to us for their research needs.</p>
<p>
This is a superb and unique opportunity for anyone interested in a career in market research. We currently have an immediate need in our Washington DC<b> </b>research practice for a:</p>
<p><b>
Intern, Behavioral Science</b></p>
<p>
The Behavioral Science group at Ipsos Social and Opinion Research seeks candidates for a paid internship in our Washington, DC office for the summer of 2018. Undergraduate and graduate-level students as well as recent graduates are encouraged to apply. Interns will support social scientists on a variety applied health and safety research projects for government and non-profit clients.</p>
<p><b>
Internship goals include:</b></p>
<ul>
<li>Exposure to the principles of behavioral research by assisting with proposal development, project management, data collection, data analysis, and report-writing.</li>
<li>Understanding the demands of large-scale, large-team project management.</li>
<li>Introduction to the private sector research environment.</li></ul>
<br>
<p>We are looking for self-motivated individuals with a high level of initiative, energy &amp; enthusiasm for learning. This opportunity is ideal for individuals interested in entering a social science (psychology, sociology) or health-related field. Candidate should have some exposure data management and analysis; experience with SPSS and/or SAS is desirable but not required.</p>
<p>
The mission of the Behavioral Science group at Ipsos Public Affairs is to understand and predict public sector knowledge, attitudes, and behaviors related to health and safety. Our work informs public policy and regulation, guides and evaluates public-facing behavior change interventions, and measures health behaviors among the US population. Our clients include the US Food and Drug Administration (FDA), the Centers for Disease Control and Prevention (CDC), the Defense Health Agency (DHA) within the Department of Defense (DoD), the National Highway Traffic Safety Administration (NHTSA), and others.</p>
<p><b>
Additional Information:</b><br>
</p>
<p>Sound like the right place for you? Share our passion. Share our success. And join us in being an <b>#IpsosGameChanger</b>.</p>
<p>
Please submit a detailed resume that demonstrates you have the experience and abilities we are seeking online by clicking the ""<b>Apply</b>"" button below. We thank all applicants; however only those short-listed for an interview will be contacted.</p>
Required Skills<br>
<br>
Required Experience</div></span>",333 reviews,"Washington, DC"
